pressure, node, date, time, humidity, ambient_temperature, amperage, wind_speed, imager_temperature
974.1, 56, 13.04.2023, 16:48, 31.4, 3.1, 240.3726, 1.1, 10.3
974.1, 57, 13.04.2023, 16:48, 30.4, 3.1, 249.7419, 1.7, 11
974.1, 39, 13.04.2023, 16:48, 30.4, 3.1, 257.8443, 1.7, 18
974.1, 58, 13.04.2023, 16:48, 30.4, 3.1, 240.091, 1.7, 7.8
974.1, 40, 13.04.2023, 16:48, 30.4, 3.1, 257.8443, 1.7, 10.9
974.1, 64, 13.04.2023, 16:49, 30.4, 3.1, 257.8443, 1.7, 17.5
974.1, 41, 13.04.2023, 16:49, 29.9, 3, 257.8443, 1.5, 21.3
974.1, 72, 13.04.2023, 16:49, 29.9, 3, 259.9978, 1.5, 10.9
974.1, 50, 13.04.2023, 16:49, 29.9, 3, 259.9978, 1.5, 9.2
974.1, 113, 13.04.2023, 16:49, 29.9, 3, 238.1757, 1.5, 13.6
974.1, 51, 13.04.2023, 16:49, 29.9, 3, 238.1757, 1.5, 6.5
974.1, 114, 13.04.2023, 16:49, 29.9, 3, 250.5612, 1.5, 15.9
974.1, 12, 13.04.2023, 16:49, 29.9, 3, 238.1757, 1.5, 5.3
974.1, 114, 13.04.2023, 16:48, 32, 3.1, 251.8829, 1.4, 16
974.1, 121, 13.04.2023, 16:48, 31.4, 3.1, 202.8639, 1.1, 12.2
974.1, 124, 13.04.2023, 16:48, 31.4, 3.1, 195.3284, 1.1, 12.3
974.1, 125, 13.04.2023, 16:48, 30.4, 3.1, 202.8639, 1.7, 17
974.1, 24, 13.04.2023, 16:49, 30.1, 3, 209.9338, 1.4, 19.4
974.1, 14, 13.04.2023, 16:49, 30.1, 3, 258.6109, 1.4, 4.4
974.1, 52, 13.04.2023, 16:49, 30.1, 3, 236.3294, 1.4, 12.3
974.1, 54, 13.04.2023, 16:49, 30.1, 3, 258.6109, 1.4, 8.4
974.1, 25, 13.04.2023, 16:49, 30.1, 3, 250.5747, 1.4, 17.3
974.1, 16, 13.04.2023, 16:49, 30.1, 3, 258.6109, 1.4, 10.8
974.1, 76, 13.04.2023, 16:49, 30.1, 3, 199.0463, 1.4, 14.5
974.1, 55, 13.04.2023, 16:49, 30.1, 3, 250.5747, 1.4, 10.5
974.1, 53, 13.04.2023, 16:49, 30.1, 3, 236.3294, 1.4, 8.8
974.1, 42, 13.04.2023, 16:49, 30.1, 3, 250.5747, 1.4, 17
974.1, 88, 13.04.2023, 16:49, 30.1, 3, 190.0724, 1.4, 14
974.1, 56, 13.04.2023, 16:49, 30.1, 3, 236.3294, 1.4, 10.1
974.1, 60, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 16.1
974.1, 44, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 18.4
974.1, 57, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 11.1
974.1, 94, 13.04.2023, 16:49, 30.4, 2.9, 199.2503, 1.3, 12.6
974.1, 61, 13.04.2023, 16:49, 30.4, 2.9, 251.2006, 1.3, 13.1
976.9, 18, 13.04.2023, 12:46, 27.8, 1.2, 429.4274, 0.8, 11.9
976.5, 2, 13.04.2023, 13:14, 33.7, 1, 352.6301, 2.4, 10.5
976.5, 17, 13.04.2023, 13:14, 33.7, 1, 157.8611, 2.4, 14.6
976.5, 54, 13.04.2023, 13:14, 33.7, 1, 377.8762, 2.4, 7.1
976.5, 1, 13.04.2023, 13:14, 33.3, 0.9, 352.6301, 2.2, 11.9
976.5, 3, 13.04.2023, 13:14, 33.3, 0.9, 352.6301, 2.2, 8.7
976.5, 18, 13.04.2023, 13:14, 33.3, 0.9, 157.8611, 2.2, 10.4
976.5, 55, 13.04.2023, 13:14, 33.3, 0.9, 352.6301, 2.2, 9.5
976.5, 4, 13.04.2023, 13:14, 33.3, 0.9, 349.2883, 2.2, 7.4
976.5, 5, 13.04.2023, 13:14, 33.3, 0.9, 349.2883, 2.2, 16
976.5, 56, 13.04.2023, 13:14, 33.3, 0.9, 345.7936, 2.2, 8.2
976.5, 6, 13.04.2023, 13:14, 33.3, 0.9, 372.0627, 2.2, 4.4
976.5, 19, 13.04.2023, 13:14, 33.3, 0.9, 345.7936, 2.2, 14.8
976.5, 7, 13.04.2023, 13:14, 33.3, 0.9, 372.0627, 2.2, 11.4
976.5, 8, 13.04.2023, 13:14, 33.3, 0.9, 372.0627, 2.2, 9.9
976.5, 9, 13.04.2023, 13:14, 33.3, 0.9, 351.3135, 2.2, 11.5
976.5, 57, 13.04.2023, 13:14, 33.3, 0.9, 351.3135, 2.2, 10.2
976.5, 20, 13.04.2023, 13:14, 33.8, 0.8, 345.7936, 1.3, 3.1
976.5, 11, 13.04.2023, 13:14, 33.8, 0.8, 351.3135, 1.3, 10.7
976.5, 26, 13.04.2023, 13:14, 33.8, 0.8, 351.3135, 1.3, 17.9
976.5, 58, 13.04.2023, 13:14, 33.8, 0.8, 345.7936, 1.3, 7.5
976.5, 21, 13.04.2023, 13:14, 33.8, 0.8, 372.0627, 1.3, 16.5
976.5, 12, 13.04.2023, 13:14, 33.8, 0.8, 340.954, 1.3, 6.6
976.5, 27, 13.04.2023, 13:14, 33.8, 0.8, 348.8252, 1.3, 16.3
976.5, 64, 13.04.2023, 13:14, 33.8, 0.8, 348.8252, 1.3, 13.2
976.5, 22, 13.04.2023, 13:14, 33.8, 0.8, 374.07, 1.3, 9.6
976.5, 14, 13.04.2023, 13:14, 33.8, 0.8, 374.07, 1.3, 4.2
976.5, 28, 13.04.2023, 13:14, 33.8, 0.8, 348.8252, 1.3, 15.6
976.5, 72, 13.04.2023, 13:15, 33.8, 0.8, 348.8252, 1.3, 8.2
976.5, 16, 13.04.2023, 13:15, 34.1, 0.9, 374.07, 2.2, 10
976.5, 23, 13.04.2023, 13:15, 34.1, 0.9, 156.922, 2.2, 4.4
976.5, 29, 13.04.2023, 13:15, 34.1, 0.9, 348.8252, 2.2, 16.9
976.5, 113, 13.04.2023, 13:15, 34.1, 0.9, 348.8252, 2.2, 15.3
976.5, 53, 13.04.2023, 13:15, 34.1, 0.9, 340.954, 2.2, 8.6
976.5, 24, 13.04.2023, 13:15, 34.1, 0.9, 157.2842, 2.2, 10.6
976.5, 30, 13.04.2023, 13:15, 34.1, 0.9, 350.9471, 2.2, 13.5
976.5, 114, 13.04.2023, 13:15, 34.1, 0.9, 350.9471, 2.2, 14.9
976.5, 60, 13.04.2023, 13:15, 34.1, 0.9, 350.9471, 2.2, 11.6
976.5, 31, 13.04.2023, 13:15, 34.1, 0.9, 350.9471, 2.2, 13.4
976.5, 25, 13.04.2023, 13:15, 34.1, 0.9, 350.9471, 2.2, 2.5
976.5, 54, 13.04.2023, 13:15, 33.6, 0.9, 375.0806, 2.7, 6.3
976.5, 61, 13.04.2023, 13:15, 33.6, 0.9, 350.9471, 2.7, 9
976.5, 33, 13.04.2023, 13:15, 33.6, 0.9, 350.9471, 2.7, 12.3
976.5, 62, 13.04.2023, 13:15, 33.6, 0.9, 350.9471, 2.7, 6.7
976.5, 55, 13.04.2023, 13:15, 33.6, 0.9, 350.9471, 2.7, 8.6
976.5, 42, 13.04.2023, 13:15, 33.6, 0.9, 350.9471, 2.7, 11.6
976.5, 34, 13.04.2023, 13:15, 33.6, 0.9, 352.7818, 2.7, 14.5
976.5, 63, 13.04.2023, 13:15, 33.6, 0.9, 352.7818, 2.7, 11.6
976.5, 56, 13.04.2023, 13:15, 33.6, 0.9, 349.1278, 2.7, 7.6
976.5, 44, 13.04.2023, 13:15, 33.6, 0.9, 352.7818, 2.7, 9.6
976.5, 35, 13.04.2023, 13:15, 33.6, 0.9, 352.7818, 2.7, 11.7
976.5, 65, 13.04.2023, 13:15, 33.6, 0.8, 352.7818, 3.5, 13.3
976.5, 57, 13.04.2023, 13:15, 33.6, 0.8, 352.7818, 3.5, 9
976.5, 36, 13.04.2023, 13:15, 33.6, 0.8, 352.7818, 3.5, 12.1
976.5, 45, 13.04.2023, 13:15, 33.6, 0.8, 352.7818, 3.5, 10.6
976.5, 66, 13.04.2023, 13:15, 33.6, 0.8, 352.7818, 3.5, 16.7
976.5, 58, 13.04.2023, 13:15, 33.6, 0.8, 349.1278, 3.5, 6.4
976.5, 37, 13.04.2023, 13:15, 33.6, 0.8, 352.7818, 3.5, 7.4
976.5, 47, 13.04.2023, 13:15, 33.6, 0.8, 352.7148, 3.5, 12.6
976.5, 68, 13.04.2023, 13:15, 33.6, 0.8, 352.7148, 3.5, 9.6
976.5, 38, 13.04.2023, 13:15, 33.6, 0.8, 352.7148, 3.5, 10.2
976.5, 48, 13.04.2023, 13:16, 33.6, 0.8, 352.7148, 3.5, 9.4
976.5, 69, 13.04.2023, 13:16, 33, 0.7, 352.7148, 1.7, 16.1
976.5, 39, 13.04.2023, 13:16, 33, 0.7, 352.7148, 1.7, 14.8
976.5, 72, 13.04.2023, 13:16, 33, 0.7, 352.7148, 1.7, 9.5
976.5, 59, 13.04.2023, 13:16, 33, 0.7, 352.7148, 1.7, 9.9
976.5, 71, 13.04.2023, 13:16, 33, 0.7, 352.7148, 1.7, 13.7
976.5, 40, 13.04.2023, 13:16, 33, 0.7, 352.6303, 1.7, 12.3
976.5, 113, 13.04.2023, 13:16, 33, 0.7, 352.6303, 1.7, 13.7
976.5, 75, 13.04.2023, 13:16, 33, 0.7, 156.3295, 1.7, 7.7
976.5, 114, 13.04.2023, 13:16, 33, 0.7, 352.6303, 1.7, 13.6
976.5, 41, 13.04.2023, 13:16, 33, 0.7, 352.6303, 1.7, 15.6
976.5, 77, 13.04.2023, 13:16, 33.7, 0.6, 156.9419, 2.8, 6.6
976.5, 50, 13.04.2023, 13:16, 33.7, 0.6, 381.3139, 2.8, 11.2
976.5, 102, 13.04.2023, 13:16, 33.7, 0.6, 156.3635, 2.8, 13.3
976.5, 55, 13.04.2023, 13:16, 33.7, 0.6, 350.9498, 2.8, 7.6
976.5, 51, 13.04.2023, 13:16, 33.7, 0.6, 336.4569, 2.8, 7
976.5, 79, 13.04.2023, 13:16, 33.7, 0.6, 156.3635, 2.8, 7.5
976.5, 104, 13.04.2023, 13:16, 33.7, 0.6, 156.3635, 2.8, 11.4
976.5, 56, 13.04.2023, 13:16, 33.7, 0.6, 336.4569, 2.8, 6.8
976.5, 52, 13.04.2023, 13:16, 33.7, 0.6, 336.4569, 2.8, 12.6
976.5, 105, 13.04.2023, 13:16, 33.7, 0.6, 156.3968, 2.8, 9.3
976.5, 80, 13.04.2023, 13:16, 33.7, 0.6, 156.3968, 2.8, 11
976.5, 57, 13.04.2023, 13:16, 34.1, 0.6, 350.9498, 2.2, 7.9
976.5, 76, 13.04.2023, 13:16, 34.1, 0.6, 156.3635, 2.2, 9.3
976.5, 107, 13.04.2023, 13:16, 34.1, 0.6, 350.9498, 2.2, 13.8
976.5, 58, 13.04.2023, 13:16, 34.1, 0.6, 329.2494, 2.2, 5.7
976.5, 88, 13.04.2023, 13:16, 34.1, 0.6, 156.0152, 2.2, 12.2
976.5, 109, 13.04.2023, 13:16, 34.1, 0.6, 156.0817, 2.2, 8.4
976.5, 82, 13.04.2023, 13:17, 34.1, 0.6, 156.8872, 2.2, 8.9
976.5, 64, 13.04.2023, 13:17, 34.1, 0.6, 340.4277, 2.2, 11
976.5, 118, 13.04.2023, 13:17, 34.1, 0.6, 156.0152, 2.2, 8.5
976.5, 94, 13.04.2023, 13:17, 34.8, 0.7, 156.0817, 1.4, 8.3
976.5, 83, 13.04.2023, 13:17, 34.8, 0.7, 156.8872, 1.4, 11.8
976.5, 72, 13.04.2023, 13:17, 34.8, 0.7, 340.4277, 1.4, 8.4
976.5, 119, 13.04.2023, 13:17, 34.8, 0.7, 156.8872, 1.4, 8.9
976.5, 95, 13.04.2023, 13:17, 34.8, 0.7, 156.6846, 1.4, 8.4
976.5, 84, 13.04.2023, 13:17, 34.8, 0.7, 157.7991, 1.4, 7.4
976.5, 113, 13.04.2023, 13:17, 34.8, 0.7, 330.338, 1.4, 13.7
976.5, 121, 13.04.2023, 13:17, 34.8, 0.7, 157.7991, 1.4, 14.8
976.5, 96, 13.04.2023, 13:17, 34.8, 0.7, 156.6846, 1.4, 10.6
976.5, 124, 13.04.2023, 13:17, 34.8, 0.7, 156.5716, 1.4, 13.2
976.5, 114, 13.04.2023, 13:17, 34.8, 0.7, 330.338, 1.4, 13.6
976.5, 97, 13.04.2023, 13:17, 34.8, 0.7, 156.5716, 1.4, 5.7
976.5, 85, 13.04.2023, 13:17, 34.8, 0.7, 156.6846, 1.4, 12.9
976.5, 125, 13.04.2023, 13:17, 35, 0.9, 157.7991, 1.9, 13.6
976.5, 98, 13.04.2023, 13:17, 35, 0.9, 156.5716, 1.9, 6.8
976.5, 87, 13.04.2023, 13:17, 35, 0.9, 156.7545, 1.9, 11.8
976.5, 99, 13.04.2023, 13:17, 35, 0.9, 156.219, 1.9, 9.2
976.5, 90, 13.04.2023, 13:17, 35, 0.9, 156.219, 1.9, 12.1
976.5, 100, 13.04.2023, 13:17, 35, 0.9, 157.6285, 1.9, 9.8
976.5, 101, 13.04.2023, 13:17, 35.4, 1, 157.6285, 2.2, 14.7
976.5, 91, 13.04.2023, 13:17, 35.4, 1, 157.6285, 2.2, 14.4
976.5, 9, 13.04.2023, 13:17, 35.4, 1, 321.9619, 2.2, 10.6
976.5, 110, 13.04.2023, 13:17, 35.4, 1, 157.4923, 2.2, 13
976.5, 64, 13.04.2023, 13:15, 33.6, 0.8, 352.7148, 3.5, 11.8
976.5, 74, 13.04.2023, 13:16, 33, 0.7, 352.6303, 1.7, 13.1
976.5, 78, 13.04.2023, 13:16, 33.7, 0.6, 156.9419, 2.8, 9
976.5, 54, 13.04.2023, 13:16, 33.7, 0.6, 381.3139, 2.8, 5.3
976.5, 54, 13.04.2023, 13:17, 35, 0.9, 342.4183, 1.9, 5.6
976.5, 1, 13.04.2023, 13:17, 35, 0.9, 323.4948, 1.9, 11.8
976.5, 55, 13.04.2023, 13:17, 35, 0.9, 323.4948, 1.9, 8.3
976.5, 4, 13.04.2023, 13:17, 35, 0.9, 325.8193, 1.9, 6.4
976.5, 6, 13.04.2023, 13:17, 35, 0.9, 342.4183, 1.9, 5
976.5, 56, 13.04.2023, 13:17, 35, 0.9, 325.8193, 1.9, 7.3
976.5, 57, 13.04.2023, 13:17, 35.4, 1, 321.9619, 2.2, 9.1
976.5, 58, 13.04.2023, 13:18, 35.4, 1, 325.7401, 2.2, 6.6
976.5, 64, 13.04.2023, 13:18, 35.2, 1.1, 321.9619, 1.3, 12.4
976.5, 72, 13.04.2023, 13:18, 35.2, 1.1, 325.1931, 1.3, 7.3
976.5, 113, 13.04.2023, 13:18, 35.2, 1.1, 325.1931, 1.3, 15.2
976.5, 2, 13.04.2023, 13:18, 35.2, 1.1, 325.1931, 1.3, 10.5
976.5, 114, 13.04.2023, 13:18, 34.4, 1.1, 325.1931, 0.9, 15
976.5, 3, 13.04.2023, 13:18, 34.4, 1.1, 325.1931, 0.9, 5.8
976.5, 5, 13.04.2023, 13:18, 34.4, 1.1, 323.7232, 0.9, 15.2
976.5, 54, 13.04.2023, 13:18, 34.4, 1.1, 346.6918, 0.9, 6.7
976.5, 7, 13.04.2023, 13:18, 34.4, 1.1, 346.6918, 0.9, 12.5
976.5, 55, 13.04.2023, 13:18, 34.4, 1.1, 334.5649, 0.9, 9.6
976.5, 8, 13.04.2023, 13:18, 34.4, 1.1, 346.6918, 0.9, 10.4
976.5, 56, 13.04.2023, 13:18, 33.5, 1.2, 324.7704, 1.2, 8.4
976.5, 26, 13.04.2023, 13:18, 33.5, 1.2, 333.1586, 1.2, 17.8
976.5, 17, 13.04.2023, 13:18, 33.5, 1.2, 155.0799, 1.2, 17
976.5, 57, 13.04.2023, 13:19, 33.5, 1.2, 333.1586, 1.2, 10.6
976.5, 27, 13.04.2023, 13:19, 33.5, 1.2, 333.1586, 1.2, 16.3
976.5, 58, 13.04.2023, 13:19, 33.5, 1.2, 324.7704, 1.2, 7.9
976.5, 18, 13.04.2023, 13:19, 33.5, 1.2, 155.0799, 1.2, 9.3
976.5, 28, 13.04.2023, 13:19, 33.5, 1.2, 333.1586, 1.2, 16.1
976.5, 64, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 13.9
976.5, 19, 13.04.2023, 13:19, 33, 1.3, 322.0856, 1.3, 18.5
976.5, 29, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 17.6
976.5, 72, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 8.7
976.5, 30, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 15.2
976.5, 20, 13.04.2023, 13:19, 33, 1.3, 322.0856, 1.3, 2.5
976.5, 113, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 16.9
976.5, 31, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 15
976.5, 21, 13.04.2023, 13:19, 32.2, 1.3, 341.7138, 0.8, 17.9
976.5, 33, 13.04.2023, 13:19, 32.2, 1.3, 335.2712, 0.8, 16.5
976.5, 22, 13.04.2023, 13:19, 32.2, 1.3, 354.1974, 0.8, 11.5
976.5, 78, 13.04.2023, 13:19, 32.2, 1.3, 157.3745, 0.8, 12.3
976.5, 34, 13.04.2023, 13:19, 32.2, 1.3, 335.2712, 0.8, 21.7
976.5, 23, 13.04.2023, 13:19, 32.2, 1.3, 157.3745, 0.8, 5.7
976.5, 35, 13.04.2023, 13:19, 32.2, 1.3, 335.2712, 0.8, 15.9
976.5, 102, 13.04.2023, 13:19, 32.2, 1.3, 156.2047, 0.8, 16.5
976.5, 55, 13.04.2023, 13:19, 32.2, 1.3, 335.2712, 0.8, 11
976.5, 104, 13.04.2023, 13:19, 31.9, 1.4, 156.2406, 1, 13.7
976.5, 24, 13.04.2023, 13:19, 31.9, 1.4, 157.7463, 1, 14.7
976.5, 56, 13.04.2023, 13:19, 31.9, 1.4, 340.9659, 1, 9.6
976.5, 105, 13.04.2023, 13:20, 31.9, 1.4, 156.3372, 1, 19.7
976.5, 57, 13.04.2023, 13:20, 31.9, 1.4, 344.7557, 1, 12
976.5, 25, 13.04.2023, 13:20, 31.9, 1.4, 344.7557, 1, 5.3
976.5, 58, 13.04.2023, 13:20, 31.9, 1.4, 340.9659, 1, 9.2
976.5, 42, 13.04.2023, 13:20, 31.9, 1.4, 349.1502, 1.2, 16.1
976.5, 64, 13.04.2023, 13:20, 31.9, 1.4, 349.1502, 1.2, 15.3
976.5, 44, 13.04.2023, 13:20, 31.9, 1.4, 349.1502, 1.2, 15.8
976.5, 93, 13.04.2023, 13:17, 35.4, 1, 157.4923, 2.2, 7.9
976.5, 11, 13.04.2023, 13:17, 35.4, 1, 321.9619, 2.2, 9.2
976.5, 112, 13.04.2023, 13:18, 35.4, 1, 156.2578, 2.2, 12.8
976.5, 108, 13.04.2023, 13:18, 35.4, 1, 157.4923, 2.2, 17.9
976.5, 12, 13.04.2023, 13:18, 35.4, 1, 325.7401, 2.2, 8
976.5, 122, 13.04.2023, 13:18, 35.2, 1.1, 321.9619, 1.3, 26.8
976.5, 14, 13.04.2023, 13:18, 35.2, 1.1, 345.3169, 1.3, 4.5
976.5, 111, 13.04.2023, 13:18, 35.2, 1.1, 156.1543, 1.3, 12.2
976.5, 126, 13.04.2023, 13:18, 35.2, 1.1, 325.1931, 1.3, 13.5
976.5, 16, 13.04.2023, 13:18, 35.2, 1.1, 345.6891, 1.3, 10.8
976.5, 115, 13.04.2023, 13:18, 35.2, 1.1, 156.3922, 1.3, 12.9
976.5, 53, 13.04.2023, 13:18, 35.2, 1.1, 324.4039, 1.3, 8.4
976.5, 116, 13.04.2023, 13:18, 34.4, 1.1, 156.3922, 0.9, 13.1
976.5, 60, 13.04.2023, 13:18, 34.4, 1.1, 325.1931, 0.9, 15.3
976.5, 61, 13.04.2023, 13:18, 34.4, 1.1, 334.5649, 0.9, 10.4
976.5, 117, 13.04.2023, 13:18, 34.4, 1.1, 155.6274, 0.9, 10.8
976.5, 62, 13.04.2023, 13:18, 34.4, 1.1, 334.5649, 0.9, 8.5
976.5, 123, 13.04.2023, 13:18, 34.4, 1.1, 155.1654, 0.9, 12.3
976.5, 63, 13.04.2023, 13:18, 33.5, 1.2, 334.5649, 1.2, 12.3
976.5, 65, 13.04.2023, 13:18, 33.5, 1.2, 333.1586, 1.2, 15.4
976.5, 66, 13.04.2023, 13:19, 33.5, 1.2, 333.1586, 1.2, 19.7
976.5, 68, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 16.7
976.5, 69, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 19.3
976.5, 71, 13.04.2023, 13:19, 33, 1.3, 334.9669, 1.3, 19.3
976.5, 74, 13.04.2023, 13:19, 32.2, 1.3, 335.2712, 0.8, 19.5
976.5, 114, 13.04.2023, 13:19, 32.2, 1.3, 335.2712, 0.8, 16.1
976.5, 54, 13.04.2023, 13:19, 32.2, 1.3, 354.1974, 0.8, 8.1
976.5, 36, 13.04.2023, 13:19, 31.9, 1.4, 344.7557, 1, 19.9
976.5, 37, 13.04.2023, 13:20, 31.9, 1.4, 344.7557, 1, 9.3
976.5, 107, 13.04.2023, 13:20, 31.9, 1.4, 344.7557, 1, 22.4
976.5, 38, 13.04.2023, 13:20, 31.9, 1.4, 344.7557, 1, 12.2
976.5, 39, 13.04.2023, 13:20, 31.9, 1.4, 349.1502, 1.2, 17
